CharacterID,Character,Title,Creator,YearCreated,YearPeriod,WorksType,Company,OtherCreator
121,Mr. Kaplan,Blacklist,Jon Bokenkamp,2013,AD,TV show,NBC,
122,"Old Man in Dark in the Forest, Strange As Time","Dark in the Forest, Strange as Time",Thomas Wolfe,1934,AD,Short Story,Scribners,
123,"Singer, I Ain't Got No Home",I Ain''t Got No Home,Woody Guthrie,1944,AD,Song,The Asch Recordings,
124,"Singer, Piano Man",Piano Man,Billy Joel,1973,AD,Song,Columbia Records,
125,"Singer, Amazing Grace",Amazing Grace,John Newton,1779,AD,Song,Olney Hymns,
126,Mother in Free At Last,Free At Last,Soul Stirrers,1972,AD,Song,Specialty Records,
127,Rick Blaine,Casablanca,Michael Curtiz,1942,AD,Film,Warner Bros,
128,"Singer, Changes",Changes,Tupac Shakur,1998,AD,Song,Amaru/Death Row/Interscope Records/Jive,
129,"Speaker, For Annie",For Annie,Edgar Allan Poe,1849,AD,Poem,Flag of our Union,
130,Miss Martian,Young Justice,Multiple,2011,AD,TV show,Cartoon Network,Brandon Vietti; Greg Weisman
131,Boo Radley,To Kill A Mockingbird,Harper Lee,1960,AD,Novel,J. B. Lippincott & Co.,
132,Black Widow,Avengers Assemble,Multiple,2013,AD,TV show,Disney XD,Joe Casey; Joe Kelly; Duncan Rouleau; Steven T. Seagle
133,Charlie Brown,Peanuts,Charles M. Schulz,1950,AD,Comics,Newspapers,
134,"Singer, Running on Empty",Running on Empty,Jackson Brown,1977,AD,Song,Aslyum,
135,Beetle Bailey,Beetle Bailey,Morton Walker,1950,AD,Comics,King Features Syndicate,
136,"Singer, Sexual Healing",Sexual Healing,Marvin Gaye,1982,AD,Song,Columbia,
137,"Singer, I Still Haven't Found What I'm Looking For",I Still Haven''t Found What I''m Looking For,U2,1987,AD,Song,Island Records,
138,"Singer, Tha Crossroads",Tha Crossroads,Bone Thugs N Harmony,1996,AD,Song,Ruthless Records,
139,"Speaker, I'm Nobody! Who are You?",I''m Nobody! Who are You?,Emily Dickinson,1891,AD,Poem,Roberts Brothers,
140,"Singer, Tears in Heaven",Tears in Heaven,Eric Clapton,1992,AD,Song,Reprise Records,
141,"Singer, Operator",Operator,Jim Croce,1972,AD,Song,ABC Records,
142,"Speaker, O Me! O Life!",O Me! O Life!,Walt Whitman,1892,AD,Poem,David McKay,
143,Boy in The Carrot Seed,The Carrot Seed,Ruth Krauss,1945,AD,Book,Scholastic Corporation,
144,"Speaker, Forgiveness",Forgiveness,John Greenleaf Whittier,1891,AD,Poem,"Houghton, Mifflin & Co.",
145,"Speaker, Ode to a Nightingale",Ode to a Nightingale,John Keats,1819,AD,Poem,,
146,"Speaker, Tao Te Ching, 20","Tao Te Ching, 20",Lao Tsu,400,BC,Book,,
147,"Speaker, The Journey",The Journey,Rabindranath Tagore,1910,AD,Poem,Macmillan and Company,
148,Jimmy B-Rabbit,8 Mile,Curtis Hanson,2002,AD,Film,Imagine Entertainment,
149,"Singer, My Love is Your Love",My Love is Your Love,Whitney Houston,1998,AD,Song,Arista Records,
150,Sephora,The Ten Commandments,Cecille B. DeMille,1956,AD,Film,Cecil B DeMille production,
