Id,CharacterId,Quality,Special
699,70,vacation,0
700,70,hostess,1
701,71,sacrifice,0
702,71,partner,0
703,71,ambition,0
704,71,politics,0
705,71,law,0
706,71,alien,0
707,71,truth,1
708,71,sci-fi,0
709,71,gun,0
710,71,brother,0
711,72,poetry,0
712,72,blues,1
713,72,music,0
714,72,loneliness,0
715,72,sentimental,0
716,72,courage,0
717,72,thoughts,0
718,72,entertainment,0
719,72,New York,0
720,72,black,0
721,73,New York,0
722,73,sitcom,0
723,73,madness,0
724,73,revenge,0
725,73,neighbor,0
726,73,poetry,0
727,73,bitter,0
728,73,antics,0
729,73,postal worker,1
730,73,loneliness,0
731,74,future,0
732,74,vanity,0
733,74,wander,0
734,74,ambition,0
735,74,oblivion,1
736,74,poetry,0
737,74,depressed,0
738,74,young,0
739,74,fame,0
740,74,dreams,0
741,75,wife,0
742,75,sea,0
743,75,quiet ,0
744,75,father,0
745,75,family,0
746,75,lame,0
747,75,ship,0
748,75,purposeless,0
749,75,alcohol,0
750,75,blacksmith,1
751,76,giving to others,0
752,76,bell tower,1
753,76,sacrifice,0
754,76,unrequited love,0
755,76,Europe,0
756,76,crime,0
757,76,good vs. evil,0
758,76,monster,0
759,76,low intelligence,0
760,76,outcast,0
761,77,young,0
762,77,innocence,0
763,77,depressed,0
764,77,unrequited love,1
765,77,religion,0
766,77,flower,0
767,77,dreams,0
768,77,waiting,0
769,77,romance,0
770,77,poetry,0
771,78,romance,0
772,78,law,0
773,78,large,0
774,78,New York,0
775,78,brother,0
776,78,failure,0
777,78,depressed,0
778,78,crazy chin,1
779,78,family,0
780,78,dance,0
781,79,innocence,0
782,79,dashed hope,0
783,79,good vs. evil,0
784,79,fight,0
785,79,animated,0
786,79,giving to others,0
787,79,South,0
788,79,romance,0
789,79,touch,1
790,79,superhuman,0
791,80,friend,0
792,80,entertainment,0
793,80,city worker,0
794,80,small town,0
795,80,romance,0
796,80,middle-age,0
797,80,sitcom,0
798,80,radio,1
799,80,mother,0
800,80,rich,0
801,81,poverty,0
802,81,finances,0
803,81,theatrical play,0
804,81,worn out wife,1
805,81,mother,0
806,81,bitter ,0
807,81,house chores,0
808,81,baby ,0
809,81,Chicago,0
810,81,dreams,0
811,82,foreign,0
812,82,ambition,0
813,82,failure,0
814,82,fight,0
815,82,novella,0
816,82,marlin,1
817,82,uplifted,0
818,82,old age,0
819,82,sea,0
820,82,waiting,0
821,83,sci-fi,0
822,83,ship,0
823,83,individuality,0
824,83,television,0
825,83,assimilation,1
826,83,space,0
827,83,future,0
828,83,alien,0
829,83,machine,0
830,83,learning,0
831,84,surf board,1
832,84,good vs evil,0
833,84,stranger,0
834,84,superhuman,0
835,84,space,0
836,84,loneliness,0
837,84,animated,0
838,84,alien,0
839,84,prison,0
840,84,sacrifice,0
841,85,film,0
842,85,politeness,0
843,85,thoughts,0
844,85,rebel,0
845,85,train,0
846,85,animated,0
847,85,entertainment,0
848,85,stranger,0
849,85,dreams,0
850,85,human moments,1
